,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1.0.tissue,characteristics_ch1.1.fibrosis status,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM6041951,Sertoli cell only_1,GSM6041951,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Non-fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546562,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833829",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041951/suppl/GSM6041951_RNA-TB224_S56Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041952,Sertoli cell only_2,GSM6041952,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Non-fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546561,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833830",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041952/suppl/GSM6041952_RNA-TB225_S57Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041953,Sertoli cell only_3,GSM6041953,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Non-fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546560,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833831",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041953/suppl/GSM6041953_RNA-TB252_S58Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041954,Sertoli cell only_4,GSM6041954,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Non-fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546559,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833832",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041954/suppl/GSM6041954_RNA-TB261_S59Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041955,Sertoli cell only_5,GSM6041955,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Non-fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546558,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833833",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041955/suppl/GSM6041955_RNA-TB270_S60Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041956,Fertile control_1,GSM6041956,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Non-fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546557,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833834",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041956/suppl/GSM6041956_RNA-TB248_S61Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041957,Fertile control_2,GSM6041957,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Non-fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546556,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833835",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041957/suppl/GSM6041957_RNA-TB266_S62Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041958,Fertile control_3,GSM6041958,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Non-fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546555,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833836",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041958/suppl/GSM6041958_RNA-TB288_S63Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041959,Fertile control_4,GSM6041959,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Non-fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546554,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833837",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041959/suppl/GSM6041959_RNA-TB291_S64Aligned.sortedByCoord.count.txt.gz,GSE200680,0
GSM6041960,Fertile control_5,GSM6041960,Public on Apr 15 2022,Apr 12 2022,Apr 16 2022,SRA,1,testicular biopsy,Homo sapiens,9606,testis,Non-fibrotic tissue,Testis tissue was snap-frozen in liquid nitrogen after biopsy and stored at -80Â°C until RNA extraction,total RNA,"RNA was extracted using the Rneasy Micro kit (Qiagen), accoring to the manufacturer's guideline (RNA extraction from tissue),KAPA RNA HyperPrep Kit with RiboErase (HMR) from Roche Diagnostics","basecalling: Illumina bcl2fastq,alignment to human genome hg19 using STAR,expression was quantified using htseq-count,Assembly: hg19,Supplementary files format and content: count files per sample",GPL24676,"Margo,,Willems",margo.willems@vub.be,024774644,Biology of the testis laboratory,"Reproduction, genetics and regenerative medicine",Vrije Universiteit Brussel,Laarbeeklaan 103,Jette,Brussels,1090,Belgium,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27546553,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14833838",ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6041nnn/GSM6041960/suppl/GSM6041960_RNA-TB312_S65Aligned.sortedByCoord.count.txt.gz,GSE200680,0
