,Patient_A_Suspected_Klinefelter,Patient_B_Suspected_NOA
LAMP2,1260.2941703367344,1088.1385895388264
ITGA2B,15.165200227962309,2.035007235148834
ASB4,76.70564943750142,8.233997029470236
GDE1,217.3408871787553,649.9265541064547
REX1BD,117.73581725246282,502.9799130488962
CRLF1,45.08511858657013,0.0
OSBPL7,0.0,3.8745176600946296
TMEM98,293.00533486541514,7.097985101014842
YBX2,1.9361335660660386,0.0
KRT33A,0.0,0.0
MAP3K14,29.14000786309094,0.0
ABCC8,51.890500940232734,6.771005371063451
CACNG3,0.0,0.0
TMEM132A,119.64102501764934,33.349595349929515
AP2B1,474.25053199398945,1235.5044043086027
TAC1,0.0,0.0
ZNF263,157.43254128993055,44.07677246347187
CX3CL1,99.50567834312331,7.10500978855166
SPATA20,387.68140494629864,351.12843712122054
CACNA1G,20.884898893492196,3.331082701965352
TNFRSF12A,0.0,210.0974193257451
DLX6,2.947405765268988,167.82227037355028
MAP3K9,108.03925491094571,7.236686705278264
RALA,226.42262322473505,203.91143408781036
BAIAP2L1,5.887363857286333,0.0
KDM7A,207.73391284605898,73.05001526181385
ETV1,134.4395179353308,65.02315113568656
AGK,167.77693980835215,108.44431851545404
ALDH3B1,74.43870736733155,10.582622319744603
TTC22,31.229100603623817,4.2793229800214085
PHTF2,90.36199530785241,85.80105406352186
CCL26,11.885104612394212,2.0518972954015826
FARP2,160.05381529311734,123.31808022042517
USH1C,0.0,0.0
GGCT,102.1852047194664,776.3381364813239
DBF4,27.10365833740786,138.98746761200957
TBXA2R,15.046565301543872,2.051855606646483
IFRD1,236.03677514493188,220.4321411983302
LGALS14,18.297641830578453,6.237374811534299
COX10,43.92540893236485,50.811746096505615
GTF2IRD1,70.65993491923015,40.77260254232931
PAF1,286.1689918403186,154.6439314530668
VPS41,282.78591459140654,460.21601836291967
ARHGAP44,41.52219309159554,5.480474765007221
ELAC2,193.2740003295654,135.54299791097048
SCIN,87.1256834403049,35284.32096408401
ARSD,141.9344791262931,172.03704822599536
PNPLA4,231.13327079026325,190.55116254057083
MYH13,0.0,0.0
ADIPOR2,246.63695843675427,186.9849060725087
CDKL3,25.72201216944048,234.03080046773786
UPP2,23.389753119766038,0.0
PRSS21,0.0,0.0
MARK4,970.0355659704835,246.55646875611527
PROM1,9.854455811535434,1.9728626127489095
CCDC124,146.26298109902945,470.05730798057357
CEACAM21,0.0,0.0
PAFAH1B1,664.7647013349574,441.3820794039227
NOS2,25.060088579120755,1.1477360702014046
DNAH9,2.2251358382294972,23.77841992638587
KIAA0100,625.5401847658268,164.18654675020755
SLC13A2,0.0,2.6483624813397446
GAS7,1044.3510985133657,1102.4544771413618
TRAPPC6A,74.1964408276439,500.00890980655373
MATK,0.9644354022943438,1.1232401055063712
CEACAM7,0.0,0.0
CD79B,0.0,0.0
SCN4A,14.376979165695923,0.0
ST7L,140.8799495481039,236.91267523808185
TKTL1,0.0,0.0
PAX6,98.8920458743142,1.0793577311391562
RPUSD1,23.915922466326514,109.67845768028903
RHBDF1,72.35132903809165,0.0
LUC7L,503.98837675947914,387.6990266346788
CACNA2D2,39.55799562267431,0.0
BAIAP3,50.93274311518282,81.01817518213741
TSR3,141.9397624002498,34.60730180712965
PIGQ,68.90036270908894,10.029330843178997
CRAMP1,72.38828609041921,134.6654410789245
TEAD3,85.52838351234675,11.77988862158698
SELE,26.78862170650274,0.0
DNAJC11,192.17827598322987,106.93206713986778
FMO3,37.20906032321789,15.298899995139111
MYLIP,149.1569937842262,51.43699197144395
NOX1,25.583775977614405,8.968093017110577
E2F2,8.86648205605888,16.96221732452154
PSMB1,411.8271932927237,3011.69645634165
SYN1,174.32874656398485,0.9681250219445234
JARID2,246.40877017631868,121.20737118839233
CDKL5,479.93704322663774,511.3521096151555
CAMK1G,31.952477552538557,20.21655343667092
CDK11A,257.87735057120824,514.3760299193483
NADK,335.7335113965521,260.00404977097173
TFAP2B,0.0,0.0
TFAP2D,0.0,0.0
DLEC1,123.54006570576645,54.49026922350352
CYTH3,301.082729730757,100.7655370161327
ADAM22,64.14033254189206,22.251016416328397
SYPL1,314.5661924767744,167.65625352279773
CYB561,89.03927238167812,32.91000949078081
SPAG9,449.06518100954287,290.79899141387887
CELSR3,90.88263294090333,0.0
AASS,526.6309297367926,171.9280181711069
PLEKHG6,3.954168658492641,1.8801566976591662
SS18L2,109.59384537948316,478.5346565918551
MPND,21.704501172628856,1.0209461629191017
MGST1,851.4242411332564,26.07137446681624
CRY1,89.10309389110895,95.3390358743602
PGLYRP1,0.0,0.0
NFIX,845.9163538771355,10.34969849693252
ST3GAL1,198.37470169710858,39.80901002375834
MMP25,10.576624210657917,0.0
IL32,342.57598349587687,338.3437600858611
PKD1,205.33213076357896,8.251842724437797
MAPK8IP2,113.39998516998774,152.4159481596247
MED24,138.57377169920483,156.15472162097788
RHOBTB2,180.483996485623,190.3927780190814
HEATR5B,147.70814088568744,93.95360948412791
SEC62,1008.4147092892338,2055.671634336079
RPS20,3857.0281407311395,10170.156109646674
CSDE1,2101.9938272574145,1278.4453621453135
UBE3C,268.50705064537215,62.46787195385992
REV3L,513.3289617729424,267.58178439399836
TENM1,57.60792797899272,1.8728224036669594
PAX7,0.0,0.0
MASP2,61.746618404898776,3.001750897017789
IYD,19.90192532503027,5.90862124707225
FAM76A,160.466129403915,245.20691822095753
TRAF3IP3,31.83489224812976,0.0
POMT2,456.6257557039545,349.14585765767816
VTA1,123.19845929445113,247.06183715217153
MLXIPL,270.0112484029824,136.4033948890219
BAZ1B,472.95504955979465,385.84270404958374
RANBP9,274.833435787673,92.6383292911847
ETV7,0.0,3.3201012677230874
SPRTN,52.51420278840611,44.495216750348064
METTL13,110.67068828143603,220.12614599301523
DYRK4,152.0986503298456,248.28254268074838
ZNF207,1114.2871892934693,893.3464067284477
UQCRC1,261.04756136406996,583.1853542862481
STARD3NL,165.60796940022004,362.6949950686736
CD9,460.65506785785857,46.143928368532734
HHATL,0.0,2.0054762905977417
NCAPD2,97.71329788205064,47.92600845655801
IFFO1,301.8732930059783,164.9661021884933
GIPR,30.773125280184242,9.76017053371865
PHF7,36.888419477935464,80.16709901558767
SEMA3G,27.124266899805047,0.0
NISCH,679.0913760446861,548.0488747554534
STAB1,135.27253400014308,5.837628167962432
FUZ,64.52622174920562,23.933089460981805
SLC6A13,0.0,0.0
IDS,563.9581252693845,158.90917835577937
PRSS3,0.0,0.0
ZNF200,45.68146310441142,58.19115557238774
CD4,94.24702713983125,0.0
LRRC23,17.34534960421214,13.456187141206701
BTK,65.50307346669207,40.86113273592309
HFE,33.62811256662066,0.0
SCMH1,123.65636094931077,34.57702686369801
FYN,471.63248756517834,208.15492881164172
HIVEP2,339.0383989509891,18.190338529236747
FMO1,110.72905669034135,0.0
ELOA,167.22064951594518,150.58259584916817
LYPLA2,68.51941348173514,224.5994682443241
CLCN6,365.226568110768,149.58342409968517
MRC2,486.1007469368393,0.0
NME1-NME2,0.0,14.41400909694548
SLC6A7,0.0,0.0
TSPAN9,220.13259551724565,5.519489452505848
BTBD7,135.1340501311981,104.0597249321042
APBA3,66.07302118630125,26.907532230498084
MKS1,290.5029864284553,125.44993982338804
ABHD5,51.48655123807946,135.08640476883167
ANOS1,309.97122917252517,190.13294570230164
AKAP8L,239.66867928207586,244.31420475926456
MBTD1,120.59006508790654,74.88471869854263
UTP18,73.88806619780621,250.8431868110733
RNF216,252.99155294907305,177.9416732629789
TTC19,254.48595062641516,4355.368357196873
PTBP1,768.7751396934457,210.06175895980337
DPF1,45.90383478049611,10.68700965254603
SYT7,54.54751357339949,0.0
LARS2,110.05897566608353,111.87261797894129
PIK3C2A,1354.5998175583952,711.2238929515311
PLAUR,8.019800981218394,9.44741484980768
ANLN,8.12515239966562,1.8834163854554993
WIZ,158.5776829101592,59.79863810292301
RABGAP1,657.7726033919237,426.49907254557337
DCN,4284.299867087286,428.6283919484327
QPCTL,47.98421956499587,2.7870243870734566
PPP5C,157.3089547880093,166.8637810405753
CEP68,226.70145392356432,81.56527767870752
MAP4K3,276.3568830191852,93.99136593754518
ZBTB32,0.0,0.0
TYROBP,162.14205426247375,10.495660599549867
LDAF1,34.81723806713004,303.00467834036164
GABRA3,0.0,0.0
BRCA1,98.68239290475162,11.605065918191938
ERCC1,126.43543576891486,441.43060797818026
CD22,176.33759275923416,4.880059188343553
SEMA3B,67.07057931714468,0.0
MBTPS2,247.4798937959002,109.53446388788855
PRICKLE3,2.938308501957706,0.0
LTF,0.0,0.0
EXTL3,274.2102541591606,39.78819733122205
NR1H4,0.0,5.29813156371026
ELOVL5,2302.15054166066,849.8526080294432
ALOX5,5.597500152998591,0.0
KDM5D,845.9740618040537,132.73491774784938
CALCOCO1,505.55401311984315,236.3607213297824
UBR7,61.81208690687681,3.3102987823043826
MAP4K5,403.3717647095391,164.65587625139196
EHD3,71.24779227173958,4.113540434761143
PSMC4,83.04037225606324,160.3121288783231
MAN2B2,310.30323589956475,78.64279625907082
SLC7A14,216.05545299245475,37.265854366117054
CLDN11,4682.443025599434,2292.9342799554083
SLC25A39,482.91670899569766,336.4829216858788
MVP,368.8233764446295,663.0845199624441
NUB1,179.66320813837999,557.0637634776168
PGM3,553.9528620618673,451.6191815108058
RWDD2A,143.9243270292132,289.0093109741187
CLK1,328.92697190443,286.21193317350003
POLR3B,115.92376599030709,218.62689761383444
ANGEL1,273.5101253769549,96.50119831617224
RNF14,405.36630791068535,413.19700669316177
DNASE1L1,9.58303014334322,5.414182287518953
DDX11,90.17493418002631,15.943815901031467
HEBP1,347.007946479951,781.8966295257926
GPRC5A,157.46515105996838,19.80600130495277
MAMLD1,1152.2061710167065,155.3931288559279
CD6,47.85162027563341,0.9931296014948016
TACC3,44.93333209983681,1.0388616004721118
UFL1,149.92100239270798,620.2048925686679
POLA2,46.184271357236234,25.634440894422486
ZC3H3,20.057185099145773,66.90385182978726
CAPN1,80.99947622372842,21.49596628248744
ACP3,36.70735123117588,60.92342822915853
MDH1,468.6814309048997,1796.761930798439
SLC30A9,383.78516766041747,398.16485762797436
MTMR11,148.09878588969585,46.10757318612291
COX15,317.4403786980843,206.83184491288804
CCDC88C,77.86156638479117,5.0768431853298
YAF2,260.22571361498063,1007.2991112709337
ZMYND11,781.5843231060719,364.7058313944246
WAS,15.820724949706763,0.992512434517362
DPEP1,15.967197189794968,8.318020137462995
BID,33.51610783839745,32.14230259375631
MATR3,1252.7578134252965,1305.0787033043184
NPC1L1,0.0,0.0
XYLT2,75.57352900482601,107.07723783058901
RGPD5,422.0496661185144,254.95020920321346
STMN4,22.069996998978432,0.0
NUDCD3,208.06073599854597,474.30729091733394
ISL1,10.698734579727365,0.0
CHDH,116.9646197435397,196.36968835687188
IL20RA,46.43705578203609,164.14208883796158
CLCA1,14.84017645470935,0.0
CLCA4,2.9041979514706657,9.940415431645553
GLT8D1,277.0349499718148,180.2173779782748
ATP2C1,606.4759251785645,406.63810718185925
IGF1,1297.5598750283934,41.266838058698355
SLC38A5,14.776678819073457,0.0
RALBP1,283.20250974485003,322.90167445977573
RUFY3,958.3304525086315,1885.9052303952374
CNTN1,152.5525119625101,0.9303444791382737
SLC11A1,17.723216465418602,9.960312541019647
WWTR1,589.2431028905633,105.0944865235708
AGPS,423.26995565706375,192.97969483640725
ZNF285CP,1.025102675054504,0.900672754773996
STEEP1,69.79590994469451,111.94979811676724
ATP1A2,231.8294070136079,10.035805914972189
TTC27,84.3887330250238,139.3168550775457
ZNF582,5.813527604861977,76.32923311096472
VSIG2,14.669242984835408,0.0
PHLDB1,662.2706782951776,71.80433256451701
MARCO,13.159955049104367,0.0
CYP24A1,1.0842947241155485,2.9501470133333694
PRDM11,119.53040394228665,0.0
SYT13,0.0,0.0
SNAI2,225.4410960324747,4.84335743270494
CD74,2749.173238395453,139.10343034087276
HGF,104.28824004960924,6.471679727284564
ZRANB1,158.0461624427734,108.96327464911863
NCDN,223.72346272717553,356.563931509447
ADGRA2,121.53521799705526,1.8547744241703255
CCT8L1P,0.0,0.0
ZFP64,68.67618854094519,48.022765649171895
MNAT1,136.68575184073651,667.9802758081893
SAMD4A,69.06759915672662,1.9290858369973933
RUNX3,9.371906310525976,217.03617128371178
MRE11,222.92618262486354,89.79056157079172
PLEKHB1,342.3128151891775,193.2494865361899
SERPINB1,177.5423585558441,315.4833643653433
CYP3A43,4.9497280406880435,12.844039331281405
SLC7A9,0.9710939741462491,0.0
SPAST,195.38718883709538,59.190850066438955
NRXN3,170.16401716758838,7.202329791518814
OSBPL5,36.64717374755327,5.724643401008996
AQR,337.9444703716619,190.41934053775364
CPS1,84.40621746944355,32.51447452492675
C8B,0.0,0.0
FHL1,156.6634022495885,60.759934565841334
RTF2,288.6992457017816,1357.5493905865023
GABRA1,20.48277673948638,7.488235002527667
NLRP2,15.538431681873627,6.757886736761634
SLC45A4,204.44447287396932,123.15624999687225
RNF10,511.3373673715075,314.28744561667554
ZNF839,39.93127810296924,118.91128982798288
ZDHHC6,361.67275249938706,125.23613980102714
GRAMD1B,1780.1722241195662,189.8963543481363
RNH1,125.19368738685834,214.729455120102
NDUFS1,301.0420978639954,534.1856089205271
RB1CC1,388.19590288271314,266.6243709305335
ERP44,503.2464878112029,717.7312434972887
ALAS1,896.3115784839564,372.2379973126676
BIRC3,86.15829526435786,300.30856177005484
AKAP11,509.4704457185298,284.3788840513901
GLRX2,222.9340875843702,237.38571240377692
SNAPC1,67.04663562687773,473.80754974434177
DERA,90.91988979735525,96.17031886781317
STRAP,846.505405646231,662.8235618813039
ABCC2,1.827460904687018,2.5174494626868578
DEF6,81.76462656482113,19.564612707638656
PLEKHO1,169.47716251087044,1.970163882138828
GCLM,50.357863913282074,37.93374487751236
UBR2,146.40520658569278,188.5381641140971
EHD2,650.4651117112008,0.9883895525149107
DEPDC1,23.738673751480064,1.0793455461746504
CCDC28A,123.63060792115967,735.9676119482726
RRAGD,49.86649364529183,48.04453167982684
HSF2,87.23971624795345,242.17689568559518
PHF20,238.6942755927638,267.9421491435036
HSD17B6,2288.1045503485147,3.052789887312099
NR1H3,9.496862390487177,0.0
TYMP,75.2033698800973,4.335281800454265
NCAPH2,88.10330070033834,55.3807732642087
TOMM34,712.571992356508,1593.370721899356
SEC63,1460.781542691149,1630.213709097812
KPNA6,397.0550475739365,952.8535931349875
VIM,4817.653151137028,3407.332855667009
RTEL1-TNFRSF6B,32.550148731994234,0.0
FAS,320.3467119130289,25.12616325828803
RNASET2,183.96704097926823,41.396726352408486
CD44,58.44885279278473,49.545449869883335
KCNG1,85.22812994768644,116.00417580096524
AGPAT4,65.83393562252311,16.715130314759605
SLAMF7,53.74888132660998,0.8880537854161574
BTN3A1,71.72028658815503,63.910643728008004
MIPEP,15.277725162847027,28.036510487971057
PRKCH,76.59207531694776,67.21899160247673
INSRR,14.019845989556936,0.0
IFNGR1,194.76226199223333,240.91118746864643
B4GALT7,85.17152405338749,316.66380738567307
SH2D2A,0.0,0.0
VRK2,43.742278977769175,89.84665245493117
TNFRSF1B,56.486027047689824,5.0072070777527795
VEZT,338.2545273885772,653.0880547054352
POU2F2,10.837205198495374,58.437621226810016
BRD9,206.0655758655015,256.59389177836226
SNX1,499.73682099204217,422.40738794280554
TBPL1,52.16173195463638,103.95185526187109
ARNTL2,30.290029037200462,17.49563714099134
BCLAF1,1040.4306163189542,896.4782614913638
SLC39A9,453.7741186034727,191.61312013985966
ANK1,8.180813804177825,0.0
IBSP,2.198727593736207,0.0
TFB1M,50.85079120645595,233.44894570341128
RABEP1,297.4462892880876,661.3063258385262
HMGB3,24.526095061391885,75.59274381098709
NUP160,183.67742005106817,58.16411345363394
BAK1,16.675066829721512,12.216507088398398
MUSK,56.76007996652163,0.0
IKZF2,48.703578365401874,48.15895463554453
GRN,512.0974056317131,376.8408533188558
FAM13B,701.8942862561117,610.0900310275198
ARHGAP31,104.14269285681756,0.0
CENPQ,7.621184690001853,76.78939968292735
SARS1,359.7719908317873,2351.904151708603
RANBP3,218.49744321886894,256.11954131606353
ARID4A,142.73885449452163,420.17278823230123
EIPR1,177.6050354350145,214.84537377019737
PNPLA6,123.03359270539345,64.00176268036076
IFT88,148.85163750855548,241.78031620586782
ALG1,144.58915349679853,33.2299769356556
ZCCHC8,87.88779661836516,48.757721980313306
ABCF2,57.577508406601105,89.19838804676391
CHPF2,187.64162673810299,42.98373168928164
LRRC7,90.861097292944,59.8751723293525
FUT8,238.07079033868925,225.35270568241557
UBA6,244.33070562956053,241.44036954029045
GAB2,249.8841973969324,1.767985947231489
ATP6V0A1,616.0583810119908,532.0059766857304
PIAS1,343.80801942079427,224.42816243698013
SLC4A7,463.5840484479281,754.8769468019692
APBA2,1.0785858857625643,1.0949253051141248
MAP2K3,79.9207749492709,85.48213804630176
CLXN,48.02863317725115,0.0
TMSB10,2525.7166534067087,60778.74695109722
ASTE1,41.548491280470394,79.36366055246182
RNF19A,505.6680924514884,1827.2834126735856
PEX3,61.52157586062337,126.59468803638647
GABARAPL2,729.5493091490814,1702.1583866504002
MYOC,33.19247222962304,0.0
SH3YL1,346.6006747727624,117.74009733340479
FAM136A,191.44731605266713,384.02599869304476
VCL,2200.445406578523,2023.7119181768667
DEPDC1B,0.0,0.0
DAPK2,22.236766908799947,33.417855206558045
NSMAF,236.39626769558134,131.91547558635276
ADSS2,112.68595281006031,490.20220972852707
STAP1,23.498525035864,1.0166290210973177
TIMP2,4490.442806743385,194.23072582106195
RFC1,181.75975170325452,779.5045227957974
TBC1D23,290.43358863257305,209.52231747249357
CUL3,338.1920981250011,40.5734360151997
MYOM2,0.0,0.0
OTC,0.0,0.0
CYP46A1,249.18322994809807,110.962480449966
ZZZ3,383.4690002888454,213.02093034701366
SLC18A1,0.0,0.9266909987217273
USP2,46.72642381034025,244.79008212533466
CASR,90.75946418849426,18.571069603440183
TUBG2,396.30604048541846,123.1008602186196
RPL26L1,76.81352952895121,738.0187215223314
FLT4,72.63642752987019,0.9214636416409284
NSUN2,282.27706123681224,138.6258382143195
FBXO42,86.5792034554756,80.15838236247691
MFAP3,251.79637210826698,32.09917426213296
MRI1,101.29983248347754,69.09214415422122
METTL1,44.932668954154714,142.37458568811297
HOXC8,2.005956689619518,0.0
AGA,140.16535879054234,160.3464389455729
PI4K2B,68.17134277378344,13.800808022147073
BOD1L1,1070.5622322228885,1561.0709366693502
MAT2B,271.8265194707123,257.4708832008446
TLL1,64.12927767355042,0.0
EDC4,124.10435206117346,20.544948307731605
TRIO,685.1941078767848,392.6110501013673
VCAN,297.975961836199,281.4449796567836
CLEC16A,483.9139402120943,148.79010737984126
MSR1,168.90509668691362,15299.454879932606
CDH1,15.514404631048937,39.05641219652594
MTREX,422.63030703386124,338.99738876568045
DNAH5,72.46625753913533,3.0292261609964974
ZFYVE16,439.7501237117927,590.0487083229707
RIPOR1,843.3602153999645,325.2889597098742
C6,158.51079414502763,0.0
RAI14,267.231214774589,45.80328025029299
SOX30,9.997780580428545,1.7224699787069475
PNKP,162.13558991805647,169.09817684586724
BEST2,0.8646617857829427,0.0
PHLPP2,204.16612022717794,37.13561508027008
SPDL1,52.04909062489812,141.87831935884975
STAU2,216.41957550732735,231.0212770541293
SLC66A1,70.92735703118076,172.84707799564111
CTNS,174.89630423187714,34.719589406941054
RTN4R,11.91630648159639,8.42830527700221
PHF23,123.78165366824305,88.74157935140937
CDH10,0.0,5.162583431171064
INPP4A,144.90848932126553,9.889207328634482
RAB27B,27.385120351075955,0.0
PSMA4,319.565353173711,580.2346629266142
MYO16,72.19970097732156,27.261453932014916
LSG1,180.70414190296023,351.04937042421454
PARP3,127.255079409108,34.02244224033087
TNC,33.07560074795366,1483.31367497658
THAP3,41.68148951376231,232.08263954721073
RIPOR3,86.6086242062379,87.4716180166631
TDP1,52.42419585478973,88.35779925217379
AIFM2,36.534568218381956,118.00112135840588
C2orf83,2.0256977468805726,3.1652158606375016
SPATA7,62.67452749998067,89.72511161590523
MED17,227.88063994018782,390.35483785834435
RETSAT,220.9701323397081,21.034432905989544
CAPG,17.109367332030832,23.638054182242318
AP2S1,186.26645028093637,1815.185424960747
USH2A,44.02440571838922,0.0
ZPBP,0.9330034253400407,14.290753242341635
TG,21.62916198744028,0.0
ADAM28,73.3306303339024,0.0
BARX2,0.0,26.46549640402329
DCUN1D1,143.2902798400443,189.76333239950515
JADE2,323.088123971899,132.4145657011437
ZIC2,0.0,1.9343831908624645
LCP2,64.83535299586339,0.0
TRIT1,79.83706543081765,68.74334425128868
ADRB1,12.800682698402607,109.35290178651027
GUCA2B,0.0,0.0
CUL7,262.19290873457476,54.9211851133371
CTNNA1,598.4250168243217,400.8702165005075
PHKA2,181.24332632242727,105.31503520582748
CNTLN,282.86075168283304,4947.9690031229065
EPHA3,15.68052758068989,2.58300989003095
HSPA5,1384.6801753828652,1292.0735218916843
DSG2,23.353253742968445,1.1045046650476917
GEMIN8,121.84130746442828,137.0998891602882
OFD1,206.03431318677707,262.54685070508
GPM6B,88.24940736872861,4255.435792719264
MAGEC2,6.691958441630577,0.0
PREX2,88.33294604081095,22.375406990772543
WDR37,177.22273444062455,226.50878040008288
YTHDC2,280.3884313549047,155.12382461398187
CTPS2,63.68935710466013,14.875691091355158
ATP6V1H,99.61139641460531,212.13618979985486
POLR2B,243.32879087373738,374.6810656747118
FAM214A,222.9456991533875,209.07889072913403
ARAP2,424.14531556029965,699.4687726797157
TPR,620.1975623017967,2311.230873229703
CP,114.67339360865014,6.573275549605408
KATNIP,99.20020519532576,75.84662801142929
DTNBP1,39.053376380683034,190.37119753624117
XK,0.0,0.0
ANO2,41.42364020825895,0.0
C12orf4,140.50957873799416,74.2142498662992
SCML1,660.3209189022098,2060.2444782120283
WWC3,489.734266579419,165.06056983939268
ARHGAP6,41.30892690107868,166.03824254453065
FAM184B,192.84809383915814,0.0
MAP4,982.3231434001091,1389.2707780722365
GOPC,230.3307480053669,1523.9201678451325
ROS1,26.858979265221638,15.33780798974545
USP28,62.08858885884723,370.280638823405
HDAC9,40.11337226073549,26.22678046608057
TSPAN17,144.96044379805787,78.00485513094347
NOP16,142.00520016401364,853.1890288421678
CC2D2A,343.02828815745045,162.08926765284744
RRM2B,160.39260322005202,169.71964952441365
ZNF800,197.80658251338303,165.59302348827043
TNFRSF17,14.849473186771718,28.692454642442435
SNX29,197.84731569635002,155.95637375653402
LMO3,78.0100092336497,465.47530265396193
MRPS10,215.33553631855546,378.46386997314585
GUCA1A,0.0,5.589204140823848
RSF1,511.2812141581279,1163.0442443956333
VPS13D,1008.6461386089568,66.23233585564435
CELF2,241.23999494600898,76.05302802502067
FAM120A,1249.1482997350965,381.3956960532811
R3HDM1,550.0498182385991,423.2374085553747
COL9A2,30.876147319312736,0.0
KITLG,294.71917124168414,411.34028061592755
ERCC8,303.4346118996526,150.5498003596851
ADAMTS6,59.18804008124207,1.0385878054101414
H6PD,495.1080948814174,81.11106753056048
VAMP3,609.7844394491367,654.614291758764
PER3,210.20984336845333,93.28793814726433
UTS2,0.0,0.0
TNFRSF9,43.9712193168163,9.36280659440925
EPN3,22.280861171732454,24.509212629053046
